,_id,id_str,content,user_loc,user_screen_name,retweet_count,fav_count,created_at,sentiment,char_count,sentiment_method
0,5ffde71b5e4953000d99dc7c,1.34899598710531e+18,"These really are critical.
2yrs ago I took 9 months to work in consulting &amp; a lot of it was remote. Learning to balance these things was novel for a lifelong K12 educator and necessary! https://t.co/hdbZoHRZBe","Texas, USA",summers_llm,0,0,2021-01-12 14:11:21,neutral,213,human
1,5ffde71b5e4953000d99dc7d,1.34898559795692e+18,"ConnectEd After School Lesson Grades K-2
Thursday, January 14 - 21st Century Skills &amp; the 4Cs 
https://t.co/7FlQZAy5KV","North Dakota, USA",ncecnd,0,0,2021-01-12 13:30:04,neutral,122,human
2,5ffde71b5e4953000d99dc7e,1.34897843722716e+18,"Don't forget to register for our FREE Remote and Hybrid Learning webinar taking place TODAY, 3:00 - 4:00 PM ET. Register now: https://t.co/eg0rxuGS4Y 
•
#ReadingComprehension #ELA #ELAChat #RemoteLearning #HybridLearning #Teachers #Educators #K12 #EdTech #ProfessionalDevelopment https://t.co/419YqRkMTa",New York City,ReadWorks,0,0,2021-01-12 13:01:36,neutral,303,human
3,5ffde71b5e4953000d99dc7f,1.34894788217555e+18,"Higher education’s move to remote learning has altered the #cybersecurity landscape, creating new #vulnerabilities. Learn how to mitigate the security challenges for higher education as SonicWall CEO @ConnerBill speaks with @EdTech_K12.  https://t.co/slYQxv1Pmt #K12 https://t.co/6TsJpB0XT4","Milpitas, CA",SonicWall,0,2,2021-01-12 11:00:12,neutral,290,human
4,5ffde71b5e4953000d99dc81,1.34876967147067e+18,Stronger Together: How Collaboration Leads to Better Remote Learning Outcomes https://t.co/vqCrOrmSII https://t.co/TEuNr8Zv74,"Boca Raton, Florida USA",CrossTec,0,0,2021-01-11 23:12:03,positive,125,human
5,5ffde71b5e4953000d99dc82,1.34876161538302e+18,How can you make remote or #hybridlearning more engaging for #K12 students? Check out these strategies that educators have used to optimize remote/hybrid instruction 👩🏻‍🏫:  https://t.co/vUZhOdwnJO,"New York, USA",ToshibaAmerica,0,0,2021-01-11 22:40:02,positive,196,human
6,5ffde71b5e4953000d99dc83,1.34874475422222e+18,"Higher education’s move to remote learning has altered the #cybersecurity landscape, creating new #vulnerabilities. Learn how to mitigate the security challenges for higher education as SonicWall CEO @ConnerBill speaks with @EdTech_K12.  https://t.co/slYQxv1Pmt #K12 https://t.co/eIbnUglmQP","Milpitas, CA",SonicWall,8,11,2021-01-11 21:33:02,neutral,290,human
7,5ffde71b5e4953000d99dc84,1.3487296734092e+18,"One thing that gets lost when we go remote is Student Voice. And I'm not sure it's ever more important than when students are isolated.

Here are some thoughts to bring voice back to the (virtual) classroom.

#edcation #myohioclassroom #k12 #kingsstrong

https://t.co/hjQe7yuPSj","Cincinnati, Ohio",kyleajepson,0,3,2021-01-11 20:33:06,positive,278,human
8,5ffde71b5e4953000d99dc85,1.34871671868466e+18,"Many instructors have produced recorded lessons. Why not use them when #schools reopen to help students catch up and encourage periodic reviews for long-term #learning? - https://t.co/y0lhyQZHIL

#edtech #edchat #education #k12  #COVID19 #onlineclasses #pedagogy #teachers","New York, USA",SymbiosisEdu,0,0,2021-01-11 19:41:38,positive,272,human
9,5ffde71b5e4953000d99dc86,1.34860820257801e+18,"Epic.  Unlimited access to over 40,000 thousand books, videos and quizzes from leading publishers.  Great resources to integrate into remote learning lessons and to keep students reading! #K12 #eLearning https://t.co/C6QhbNbaTn",Terre Haute Indiana,RoseHulmanPRISM,0,0,2021-01-11 12:30:26,positive,227,human
10,5ffde71b5e4953000d99dc87,1.34830421366377e+18,"A lot of great discussions at the #aaptwm21 K12 teacher meetup! ""Hybrid &amp; Remote Teaching,"" ""I just want to meet people,"" ""Teaching Stories""
@garydanewhite 
@leetramp 
@MsA_Physics 
@cossettej 
@RVieyraAEF 
@BarnettDreyfuss 
(if I missed someone, retweet and tag yourself/others!)",Oklahoma,SteveMaier_,1,12,2021-01-10 16:22:29,positive,284,human
11,5ffde71b5e4953000d99dc88,1.34805908307769e+18,"reasons #k12 schools continue with remote learning.

via ⁦@nytimes⁩ 

#education https://t.co/OVbKHx7PRb",southern california,TheIEPGuy,2,2,2021-01-10 00:08:25,neutral,104,human
12,5ffde71b5e4953000d99dc89,1.3479895594438e+18,Just watched a great session on shifting the focus of assessments at the REMOTE K12: The Connected Teacher Summit! https://t.co/gdQzQx14m8,"Prescott Valley, AZ",lostinalongbook,0,1,2021-01-09 19:32:10,positive,138,human
13,5ffde71b5e4953000d99dc8a,1.34797492212389e+18,"""Of all extracurricular activities, competitive gaming has particular potential to thrive in a remote landscape if we take the necessary steps to streamline its implementation..."" 🎮 // #esportsEDU
https://t.co/KuzXGfw5ev","Madison, WI",FilamentGames,0,1,2021-01-09 18:34:00,positive,220,human
14,5ffde71b5e4953000d99dc8b,1.34795572694622e+18,"Such an honor to be in the “room”, well, virtually, with @maejemison as the Keynote for the Connected Teacher Summit with Remote K12 🙌","Meridian, ID",Hehlschide,0,0,2021-01-09 17:17:43,positive,134,human
15,5ffde71b5e4953000d99dc8c,1.34789444509048e+18,I'm excited to attend REMOTE K12 Opens! at RemoteK12 https://t.co/QdHtsJulNn #remotek12 @sched #edchat #virtuallearning,"Pennsylvania, USA",DocKerby,0,2,2021-01-09 13:14:13,positive,119,human
16,5ffde71b5e4953000d99dc8d,1.34777782586916e+18,Looking over the schedule for the REMOTE K12: The Connected Teacher Summit and I am so excited for tomorrow! I am looking forward to learning more about how to engage all students while teaching online. https://t.co/WJbGMpCYIZ #REMOTEK12 #STEM #Inquiry #RemoteLearning,"Flagstaff, Arizona",mrs_swells,0,0,2021-01-09 05:30:48,positive,268,human
17,5ffde71b5e4953000d99dc8e,1.34776636793665e+18,"To safeguard digital learning, #K12 educators must ask tough data privacy questions. Here are 5 to definitely keep top of mind. EdTech_K12 #ISTE20 #security #data security #cdwsocial https://t.co/Ym09UpUDx8 https://t.co/nWZnEQ9c5M","Lincolnshire, Illinois",DbJsales,1,1,2021-01-09 04:45:17,neutral,230,human
18,5ffde71b5e4953000d99dc8f,1.34773987844478e+18,"#Teachers, it's not too late to sign up for Saturday's REMOTE K12: The Connected Teacher Summit!

This free, one-day, virtual event kicks off with a conversation with Dr. Mae Jemison — engineer, physician, entrepreneur and the world's first woman of color in space.","Tempe, Arizona",ASU,4,12,2021-01-09 03:00:01,neutral,265,human
19,5ffde71b5e4953000d99dc90,1.3477320479059e+18,"Join Free REMOTE K12 virtual conference tomorrow, Jan 9.
Register now: https://t.co/ilYKI7lPAI
45 sessions presented by NBCTs on virtual and blended teaching
Keynote by Dr. Mae Jemison, NB Board of Directors and former NASA astronaut
Keynote: Dr. Mae Jemison
9:00 am PT (noon ET) https://t.co/ZxKujBglyt","Georgia, USA",HeavenlyMont,5,8,2021-01-09 02:28:54,neutral,303,human
20,5ffde71b5e4953000d99dc91,1.34771219474251e+18,"When creating a grading and assessment policy for distance learning:

-Only grade student performance on standards most essential to course content
-Provide remote feedback before grading
-Consider a hybrid grading approach

Read more: https://t.co/eSmMz3YYLw #SuptChat #K12","Washington, DC",EAB,0,0,2021-01-09 01:10:01,neutral,274,human
21,5ffde71b5e4953000d99dc92,1.34768139095177e+18,Calling K-12 teachers: the Remote K-12 The Connected Teacher Summit is a free virtual event happening tomorrow! Network with educators across 130+ sessions and qualify for an Arizona State University K-12 Professional Development Certificate. Visit: https://t.co/UbhTzBxX3H,"Washington, DC",TheNAAEE,2,7,2021-01-08 23:07:36,neutral,273,human
23,5ffde71b5e4953000d99dc94,1.34766674561233e+18,UCPS will return to in-person learning next week. Elem. schools under Plan A (4 days a week) and middle/high schools under Plan B (2 days a week). Fridays will continue to be remote learning days for all students. Read more: https://t.co/SeWH6GW4Cy @AGHoulihan https://t.co/kO9nA92UFt,"Monroe, NC",UCPSNC,25,48,2021-01-08 22:09:25,neutral,284,human
24,5ffde71b5e4953000d99dc95,1.3476581925794e+18,"SCSD is reopening hybrid classes on Mon., Jan 11 except at Paige Academy due to COVID-related issues.  Paige Academy will remain remote through Jan 15.  More info here:   https://t.co/kswZzsDVko","Schenectady, NY",Hamiltonscsd,0,0,2021-01-08 21:35:26,neutral,194,human
25,5ffde71b5e4953000d99dc96,1.34764135220139e+18,"In addition to the upcoming January 17 deadline to request a delivery model change from Remote Campus to the building-based on-site instruction model, we have added another date of April 4. Read our entire update from today on our website. #AmesCSD
https://t.co/9yVo88TWfa https://t.co/73D85NaDNv","Ames, Iowa ",ACSD_News,1,0,2021-01-08 20:28:30,neutral,296,human
26,5ffde71b5e4953000d99dc97,1.34764031521007e+18,"As school districts became exponentially more reliant on remote access and cloud networking this past year, cyber attacks have become an even more pernicious threat. How is your district handling cybersecurity? https://t.co/RRiwNRsGyu",USA,K12FForum,0,0,2021-01-08 20:24:23,negative,234,human
27,5ffde71b5e4953000d99dc98,1.34763700629845e+18,"We are reopening hybrid class on Monday, January 11, with the exception of Paige Academy.  Paige Academy will continue to be remote through Friday, January 15.  You can sign up for COVID-19 testing in school until Sunday at midnight.  More information:  https://t.co/zQh9YPuIYH...","Schenectady, New York",SCSchools,5,2,2021-01-08 20:11:14,neutral,280,human
28,5ffde71b5e4953000d99dc99,1.34762063634936e+18,"Middle School Remote Learning
January 7th - January 15th
https://t.co/NESkNeBjJ8
https://t.co/JfJjQFjtj1","Amanda, Ohio",amandaacesk12,0,0,2021-01-08 19:06:11,neutral,104,human
29,5ffde71b5e4953000d99dc9a,1.34761688381031e+18,"The Week Ahead for next week has been released.  We will continue with the same class schedule next week with remote learning.  Please see information on our ACT/SAT prep class in the newest edition.  https://t.co/NApbhSFsiu
@MohiganAthletic @Monongalia_Co","Morgantown, WV",ONEMHS,2,5,2021-01-08 18:51:17,neutral,256,human
