_id,id_str,content,sentiment_human_labeled,user_loc,user_screen_name,retweet_count,fav_count,created_at,
5ffde71b5e4953000d99dc7c,1.34899598710531E+018,"These really are critical.
2yrs ago I took 9 months to work in consulting &amp; a lot of it was remote. Learning to balance these things was novel for a lifelong K12 educator and necessary! https://t.co/hdbZoHRZBe",pos/neu,"Texas, USA",summers_llm,0,0,2021-01-12 14:11:21,
5ffde71b5e4953000d99dc7d,1.34898559795692E+018,"ConnectEd After School Lesson Grades K-2
Thursday, January 14 - 21st Century Skills &amp; the 4Cs 
https://t.co/7FlQZAy5KV",neutral,"North Dakota, USA",ncecnd,0,0,2021-01-12 13:30:04,
5ffde71b5e4953000d99dc7e,1.34897843722716E+018,"Don't forget to register for our FREE Remote and Hybrid Learning webinar taking place TODAY, 3:00 - 4:00 PM ET. Register now: https://t.co/eg0rxuGS4Y 
•
#ReadingComprehension #ELA #ELAChat #RemoteLearning #HybridLearning #Teachers #Educators #K12 #EdTech #ProfessionalDevelopment https://t.co/419YqRkMTa",neutral,New York City,ReadWorks,0,0,2021-01-12 13:01:36,
5ffde71b5e4953000d99dc7f,1.34894788217555E+018,"Higher education’s move to remote learning has altered the #cybersecurity landscape, creating new #vulnerabilities. Learn how to mitigate the security challenges for higher education as SonicWall CEO @ConnerBill speaks with @EdTech_K12.  https://t.co/slYQxv1Pmt #K12 https://t.co/6TsJpB0XT4",neutral,"Milpitas, CA",SonicWall,0,2,2021-01-12 11:00:12,
5ffde71b5e4953000d99dc81,1.34876967147067E+018,Stronger Together: How Collaboration Leads to Better Remote Learning Outcomes https://t.co/vqCrOrmSII https://t.co/TEuNr8Zv74,positive,"Boca Raton, Florida USA",CrossTec,0,0,2021-01-11 23:12:03,
5ffde71b5e4953000d99dc82,1.34876161538302E+018,How can you make remote or #hybridlearning more engaging for #K12 students? Check out these strategies that educators have used to optimize remote/hybrid instruction 👩🏻‍🏫:  https://t.co/vUZhOdwnJO,positive,"New York, USA",ToshibaAmerica,0,0,2021-01-11 22:40:02,
5ffde71b5e4953000d99dc83,1.34874475422222E+018,"Higher education’s move to remote learning has altered the #cybersecurity landscape, creating new #vulnerabilities. Learn how to mitigate the security challenges for higher education as SonicWall CEO @ConnerBill speaks with @EdTech_K12.  https://t.co/slYQxv1Pmt #K12 https://t.co/eIbnUglmQP",neutral,"Milpitas, CA",SonicWall,8,11,2021-01-11 21:33:02,
5ffde71b5e4953000d99dc84,1.3487296734092E+018,"One thing that gets lost when we go remote is Student Voice. And I'm not sure it's ever more important than when students are isolated.

Here are some thoughts to bring voice back to the (virtual) classroom.

#edcation #myohioclassroom #k12 #kingsstrong

https://t.co/hjQe7yuPSj",positive,"Cincinnati, Ohio",kyleajepson,0,3,2021-01-11 20:33:06,
5ffde71b5e4953000d99dc85,1.34871671868466E+018,"Many instructors have produced recorded lessons. Why not use them when #schools reopen to help students catch up and encourage periodic reviews for long-term #learning? - https://t.co/y0lhyQZHIL

#edtech #edchat #education #k12  #COVID19 #onlineclasses #pedagogy #teachers",positive/neutral,"New York, USA",SymbiosisEdu,0,0,2021-01-11 19:41:38,
5ffde71b5e4953000d99dc86,1.34860820257801E+018,"Epic.  Unlimited access to over 40,000 thousand books, videos and quizzes from leading publishers.  Great resources to integrate into remote learning lessons and to keep students reading! #K12 #eLearning https://t.co/C6QhbNbaTn",positive,Terre Haute Indiana,RoseHulmanPRISM,0,0,2021-01-11 12:30:26,
5ffde71b5e4953000d99dc87,1.34830421366377E+018,"A lot of great discussions at the #aaptwm21 K12 teacher meetup! ""Hybrid &amp; Remote Teaching,"" ""I just want to meet people,"" ""Teaching Stories""
@garydanewhite 
@leetramp 
@MsA_Physics 
@cossettej 
@RVieyraAEF 
@BarnettDreyfuss 
(if I missed someone, retweet and tag yourself/others!)",positive,Oklahoma,SteveMaier_,1,12,2021-01-10 16:22:29,
5ffde71b5e4953000d99dc88,1.34805908307769E+018,"reasons #k12 schools continue with remote learning.

via ⁦@nytimes⁩ 

#education https://t.co/OVbKHx7PRb",neutral,southern california,TheIEPGuy,2,2,2021-01-10 00:08:25,
5ffde71b5e4953000d99dc89,1.3479895594438E+018,Just watched a great session on shifting the focus of assessments at the REMOTE K12: The Connected Teacher Summit! https://t.co/gdQzQx14m8,positive,"Prescott Valley, AZ",lostinalongbook,0,1,2021-01-09 19:32:10,
5ffde71b5e4953000d99dc8a,1.34797492212389E+018,"""Of all extracurricular activities, competitive gaming has particular potential to thrive in a remote landscape if we take the necessary steps to streamline its implementation..."" 🎮 // #esportsEDU
https://t.co/KuzXGfw5ev",positive,"Madison, WI",FilamentGames,0,1,2021-01-09 18:34:00,
5ffde71b5e4953000d99dc8b,1.34795572694622E+018,"Such an honor to be in the “room”, well, virtually, with @maejemison as the Keynote for the Connected Teacher Summit with Remote K12 🙌",positive,"Meridian, ID",Hehlschide,0,0,2021-01-09 17:17:43,
5ffde71b5e4953000d99dc8c,1.34789444509048E+018,I'm excited to attend REMOTE K12 Opens! at RemoteK12 https://t.co/QdHtsJulNn #remotek12 @sched #edchat #virtuallearning,positive,"Pennsylvania, USA",DocKerby,0,2,2021-01-09 13:14:13,
5ffde71b5e4953000d99dc8d,1.34777782586916E+018,Looking over the schedule for the REMOTE K12: The Connected Teacher Summit and I am so excited for tomorrow! I am looking forward to learning more about how to engage all students while teaching online. https://t.co/WJbGMpCYIZ #REMOTEK12 #STEM #Inquiry #RemoteLearning,positive,"Flagstaff, Arizona",mrs_swells,0,0,2021-01-09 05:30:48,
5ffde71b5e4953000d99dc8e,1.34776636793665E+018,"To safeguard digital learning, #K12 educators must ask tough data privacy questions. Here are 5 to definitely keep top of mind. EdTech_K12 #ISTE20 #security #data security #cdwsocial https://t.co/Ym09UpUDx8 https://t.co/nWZnEQ9c5M",neutral,"Lincolnshire, Illinois",DbJsales,1,1,2021-01-09 04:45:17,
5ffde71b5e4953000d99dc8f,1.34773987844478E+018,"#Teachers, it's not too late to sign up for Saturday's REMOTE K12: The Connected Teacher Summit!

This free, one-day, virtual event kicks off with a conversation with Dr. Mae Jemison — engineer, physician, entrepreneur and the world's first woman of color in space.",neutral,"Tempe, Arizona",ASU,4,12,2021-01-09 03:00:01,
5ffde71b5e4953000d99dc90,1.3477320479059E+018,"Join Free REMOTE K12 virtual conference tomorrow, Jan 9.
Register now: https://t.co/ilYKI7lPAI
45 sessions presented by NBCTs on virtual and blended teaching
Keynote by Dr. Mae Jemison, NB Board of Directors and former NASA astronaut
Keynote: Dr. Mae Jemison
9:00 am PT (noon ET) https://t.co/ZxKujBglyt",neutral,"Georgia, USA",HeavenlyMont,5,8,2021-01-09 02:28:54,
5ffde71b5e4953000d99dc91,1.34771219474251E+018,"When creating a grading and assessment policy for distance learning:

-Only grade student performance on standards most essential to course content
-Provide remote feedback before grading
-Consider a hybrid grading approach

Read more: https://t.co/eSmMz3YYLw #SuptChat #K12",neutral,"Washington, DC",EAB,0,0,2021-01-09 01:10:01,
5ffde71b5e4953000d99dc92,1.34768139095177E+018,Calling K-12 teachers: the Remote K-12 The Connected Teacher Summit is a free virtual event happening tomorrow! Network with educators across 130+ sessions and qualify for an Arizona State University K-12 Professional Development Certificate. Visit: https://t.co/UbhTzBxX3H,neutral,"Washington, DC",TheNAAEE,2,7,2021-01-08 23:07:36,
5ffde71b5e4953000d99dc93,1.34767171201651E+018,How to connect with remote students https://t.co/9ircahOocU #edchat #K12,neutral,"Columbus, OH",OHschoolboards,4,6,2021-01-08 22:29:09,
5ffde71b5e4953000d99dc94,1.34766674561233E+018,UCPS will return to in-person learning next week. Elem. schools under Plan A (4 days a week) and middle/high schools under Plan B (2 days a week). Fridays will continue to be remote learning days for all students. Read more: https://t.co/SeWH6GW4Cy @AGHoulihan https://t.co/kO9nA92UFt,neutral,"Monroe, NC",UCPSNC,25,48,2021-01-08 22:09:25,
5ffde71b5e4953000d99dc95,1.3476581925794E+018,"SCSD is reopening hybrid classes on Mon., Jan 11 except at Paige Academy due to COVID-related issues.  Paige Academy will remain remote through Jan 15.  More info here:   https://t.co/kswZzsDVko",neutral,"Schenectady, NY",Hamiltonscsd,0,0,2021-01-08 21:35:26,
5ffde71b5e4953000d99dc96,1.34764135220139E+018,"In addition to the upcoming January 17 deadline to request a delivery model change from Remote Campus to the building-based on-site instruction model, we have added another date of April 4. Read our entire update from today on our website. #AmesCSD
https://t.co/9yVo88TWfa https://t.co/73D85NaDNv",neutral,"Ames, Iowa ",ACSD_News,1,0,2021-01-08 20:28:30,
5ffde71b5e4953000d99dc97,1.34764031521007E+018,"As school districts became exponentially more reliant on remote access and cloud networking this past year, cyber attacks have become an even more pernicious threat. How is your district handling cybersecurity? https://t.co/RRiwNRsGyu",negative/neutral,USA,K12FForum,0,0,2021-01-08 20:24:23,
5ffde71b5e4953000d99dc98,1.34763700629845E+018,"We are reopening hybrid class on Monday, January 11, with the exception of Paige Academy.  Paige Academy will continue to be remote through Friday, January 15.  You can sign up for COVID-19 testing in school until Sunday at midnight.  More information:  https://t.co/zQh9YPuIYH...",neutral,"Schenectady, New York",SCSchools,5,2,2021-01-08 20:11:14,
5ffde71b5e4953000d99dc99,1.34762063634936E+018,"Middle School Remote Learning
January 7th - January 15th
https://t.co/NESkNeBjJ8
https://t.co/JfJjQFjtj1",neutral,"Amanda, Ohio",amandaacesk12,0,0,2021-01-08 19:06:11,
5ffde71b5e4953000d99dc9a,1.34761688381031E+018,"The Week Ahead for next week has been released.  We will continue with the same class schedule next week with remote learning.  Please see information on our ACT/SAT prep class in the newest edition.  https://t.co/NApbhSFsiu
@MohiganAthletic @Monongalia_Co",neutral,"Morgantown, WV",ONEMHS,2,5,2021-01-08 18:51:17,
5ffde71b5e4953000d99dc9b,1.34761531639066E+018,"Join ASCD and thousands of educators at REMOTE K12 on January 9! Learn, network &amp; collaborate with others to provide the best in online &amp; blended learning. REMOTE K12 is free for K-12 educators. Sign Up Today: https://t.co/ZWNre6muR2 #remotek12summit https://t.co/1ceTfygOKT",neutral,"Alexandria, VA (D.C. area)",ASCD,14,21,2021-01-08 18:45:03,
5ffde71b5e4953000d99dc9c,1.34758911987097E+018,"REMOTE K12 is TOMORROW!!

Live video lessons versus real-time instruction. What works best for K-12 learners? REMOTE K12 digs deep into online and blended learning for real results teachers can apply today. Learn more and register at the link below!

https://t.co/wLycuiKftH https://t.co/BTqEzJbME0",neutral,"New York, NY",Quill_org,0,0,2021-01-08 17:00:57,
5ffde71b5e4953000d99dc9d,1.34757816981409E+018,"HS Remote Learning Schedule
https://t.co/TULldHx0XU https://t.co/qhzTy4Lqwa",neutral,"Amanda, Ohio",amandaacesk12,0,0,2021-01-08 16:17:27,
5ffde71b5e4953000d99dc9e,1.34756498331653E+018,"We value and appreciate the IT professionals who have shouldered a huge burden since the pandemic started.  

With #RemoteLearning and #HybridLearning, schools must expand their tech support capabilities to meet increased demands. 

https://t.co/E1fW5bRYA1 

#edtech #education",positive,"California, USA",GG4Learning,1,1,2021-01-08 15:25:03,
